handle,id,detail_url,image_url
black-brant-vb-sounding-rocket,7007570428095,https://locprecision.com/collections/rocket-kits/products/black-brant-vb-sounding-rocket,//locprecision.com/cdn/shop/products/BlackBrantVbFrank300t_540x.jpg?v=1633695904
small-endeavour,7007562629311,https://locprecision.com/collections/rocket-kits/products/small-endeavour,//locprecision.com/cdn/shop/products/smallendeavour_540x.jpg?v=1638942270
phobos,7007562563775,https://locprecision.com/collections/rocket-kits/products/phobos,//locprecision.com/cdn/shop/products/phoboswebpic_540x.jpg?v=1638942492
yshawk55,6677842297023,https://locprecision.com/collections/rocket-kits/products/yshawk55,//locprecision.com/cdn/shop/products/54_f5a14cfe-43b9-4c32-84de-690db043732e_540x.jpg?v=1623487020
x-calibur,7007562825919,https://locprecision.com/collections/rocket-kits/products/x-calibur,//locprecision.com/cdn/shop/products/xcalibur_540x.jpg?v=1638942534
matrix,7007574098111,https://locprecision.com/collections/rocket-kits/products/matrix,//locprecision.com/cdn/shop/products/MatrixJerry300t_540x.jpg?v=1633696012
amraam-4-missile,7007570329791,https://locprecision.com/collections/rocket-kits/products/amraam-4-missile,//locprecision.com/cdn/shop/products/amraam4_f53b346a-853b-4b2c-a4f0-de663b174b6e_540x.jpg?v=1638942136
amraam-2-kits,7007570133183,https://locprecision.com/collections/rocket-kits/products/amraam-2-kits,//locprecision.com/cdn/shop/products/amraam2_540x.jpg?v=1638941619
yank-iqsy-tomahawk-3,6677842952383,https://locprecision.com/collections/rocket-kits/products/yank-iqsy-tomahawk-3,//locprecision.com/cdn/shopifycloud/shopify/assets/no-image-50-3d8cc48bd078edcd544c8d60f929ed2d8800a3fc52e0f602e84b1767e392bfcd_540x.gif
cruiser,6677839904959,https://locprecision.com/collections/rocket-kits/products/cruiser,//locprecision.com/cdn/shop/products/89_205db863-e585-4ce4-b886-7083d979035b_540x.jpg?v=1623142526
intruder-rocket,7007574524095,https://locprecision.com/collections/rocket-kits/products/intruder-rocket,//locprecision.com/cdn/shop/products/IntruderJerry300t_540x.jpg?v=1633696020
d-region-tomahawk-sounding-rocket,7007570526399,https://locprecision.com/collections/rocket-kits/products/d-region-tomahawk-sounding-rocket,//locprecision.com/cdn/shop/products/TommyRobSmallAnnot_540x.jpg?v=1633695906
mini-bbx-rocket,7007570100415,https://locprecision.com/collections/rocket-kits/products/mini-bbx-rocket,//locprecision.com/cdn/shop/products/minibbx_540x.jpg?v=1638942425
ultimate-endeavour,7007592841407,https://locprecision.com/collections/rocket-kits/products/ultimate-endeavour,//locprecision.com/cdn/shop/products/UltimateEndeavourAnnot_540x.jpg?v=1633696608
cirrus-rocket-kits,7007589728447,https://locprecision.com/collections/rocket-kits/products/cirrus-rocket-kits,//locprecision.com/cdn/shop/products/cirrus_540x.jpg?v=1642394686
little-lunar-express-rocket,7007574753471,https://locprecision.com/collections/rocket-kits/products/little-lunar-express-rocket,//locprecision.com/cdn/shop/products/littlelunarexpress_540x.jpg?v=1638942385
yhawk4,6677845016767,https://locprecision.com/collections/rocket-kits/products/yhawk4,//locprecision.com/cdn/shop/products/64_540x.jpg?v=1620827881
yhawk3,6677844983999,https://locprecision.com/collections/rocket-kits/products/yhawk3,//locprecision.com/cdn/shop/products/52_540x.jpg?v=1620823795
top-gunn,6677841576127,https://locprecision.com/collections/rocket-kits/products/top-gunn,//locprecision.com/cdn/shop/products/16_540x.jpg?v=1620835433
norad-pro-maxx,6677838921919,https://locprecision.com/collections/rocket-kits/products/norad-pro-maxx,//locprecision.com/cdn/shop/products/46_4c9882ee-4fe8-4e0c-82b6-ae19e4b4a064_540x.jpg?v=1623250221
